title,content_id
안양천 물놀이장,2591870
동천 야외물놀이장,2502579
대구 신천물놀이장,2993587
도농한강공원물놀이장,3012120
난지한강공원물놀이장,3057076
서서울호수공원물놀이장,3060933
우천숲물놀이장,3057863
태평동물놀이장,3032849
한강시민공원삼패지구물놀이장,3014000
오산시청물놀이장,3351644
천동 물놀이장,2022071
광명안양천물놀이장,3011251
함평엑스포공원 물놀이장,3014236
말리부수상레저,3018573
모비딕수상레저,3006242
썸머타임수상레저,3006252
하이수상레저,3015880
대성수상레저,231996
AT수상레저,2723687
임하호수상레저타운캠핑장,2730857
한강수상레저,1199435
버드마리나수상레저,1198746
탑코리아수상레저,2765636
충주 포세이돈 수상레저(포세이돈수상스키장),2769756
힐링브릿지수상레저,3064930
크라운수상레저,3018558
달빛수상레저,3017953
수상레저V,3064957
레인보우수상레저,3015799
고노골수상레저,3017976
평화수상레저,3017861
구례 호수공원 수상레저타운,3006513
제천수상레저,1927214
넵튠 수상레저 & 웨이크서핑 인싸서프,3017977
빠지에빠지다수상레저,3017810
비버네선착장수상레저,3017803
북한강포시즌수상레저,3017802
더시크릿수상레저,2765247
지리산수상레저,2787159
리버포인트 수상레저,2773872
도리수상레저,2781732
장수논개수상레저,2787377
아리수수상레저,2781711
강천섬수상레저,2781742
한강세븐수상레저,2761458
오동나무수상레저,2765244
가평1등수상레저,3083085
원수상레저,3083018
함동수상레저타운,3078219
슬로보트,2782843
백운보트장,2743341
블루보트게스트하우스 전주점,2528149
유리바닥보트,3073199
바람의제트보트,3060420
보트코리아 화성전시장,3017597
금빛수로보트하우스,3007490
도담삼봉 모터보트,2022070
여수모터보트협회,3008327
엑스포 마린 제트보트,3008431
속초파워보트클럽,2782125
화명수상레포츠타운,2756703
삼락수상레포츠타운,2756707
구미시 낙동강 수상레포츠 체험센터,2501042
바하마수상레포츠,1199376
서울윈드서핑장,2743751